# Generated by QuTiP: 27x27 complex matrix in exp format [',' separated values].
2.0555979652e-01-8.0989961385e-15j,2.8439165307e-01-1.2080142455e-01j,-4.7509746714e-03-3.8235923133e-03j,-1.5609007825e-01+1.3380228029e-01j,-7.5468308342e-03-1.5515655629e-01j,-7.2742763044e-03+1.1623993678e-04j,8.7441419320e-05+2.8494570120e-04j,1.8930181445e-04-8.2933807650e-05j,-1.3570944198e-06-2.4144345562e-05j,-5.2435961639e-03-3.7538294012e-03j,-1.8778880858e-03+4.0726122773e-03j,-5.2998886548e-04+1.6515812530e-04j,-1.3476236894e-03-3.2009715225e-04j,-3.3856456185e-03-2.3627754837e-03j,5.6486360101e-05-4.6545355369e-04j,5.6449336376e-04-4.8098881286e-04j,2.5379147177e-05+5.6586938297e-04j,2.5439362623e-05-3.5435805652e-07j,5.3707505186e-05-4.6834779239e-05j,8.6091714464e-05+7.1278807758e-05j,6.5579022254e-06+2.6412594708e-06j,9.2464560588e-05+3.3169084375e-05j,1.1582246983e-05+1.4324036221e-05j,1.5922092912e-05+1.4221933467e-05j,5.4985556429e-06+1.2143056971e-06j,1.5512011649e-05+1.3080215052e-05j,8.6972478232e-07+8.3292036007e-06j
-5.2998886548e-04-1.6515812530e-04j,-7.7105733408e-04+2.6921231426e-04j,4.5485976573e-07+1.1685860560e-05j,6.7576341726e-04-4.7679868764e-04j,3.1405637335e-05+6.9725819214e-04j,1.5591146039e-05+1.5612527687e-05j,-2.7251132904e-07-1.4511992464e-06j,-5.5323699654e-07-1.9141334828e-07j,-7.4307202238e-08-2.9359647062e-09j,3.1630663903e-06+1.3609713250e-05j,6.1482135137e-06-8.9680579150e-06j,2.8383902526e-06+2.0531405492e-20j,3.3486556131e-06-6.4959671831e-06j,-1.4693071206e-07+5.0197340151e-06j,-4.3509219793e-06-3.8625573337e-06j,-2.4319884458e-06+1.7188870719e-06j,-8.3754420822e-08-2.5069326984e-06j,-5.2821738314e-08-5.6575976849e-08j,-2.4650851280e-07+1.6295816397e-07j,-4.5029911955e-08-2.6262008790e-07j,9.8413471238e-08+7.4499378169e-08j,-9.8633900234e-08-2.6837572957e-07j,1.5171257845e-07+9.6230375353e-08j,3.1946316561e-08-3.0824340932e-08j,-2.1322154900e-08+3.4588462165e-08j,5.7200600201e-09-3.3131678953e-08j,2.1234793077e-08+2.3043868441e-08j
-1.3476236894e-03+3.2009715225e-04j,-1.5563977516e-03+1.0648779533e-03j,3.3820489243e-05+1.4408442490e-05j,5.7028532534e-04-1.0425232582e-03j,8.5718708812e-05+1.0745098661e-03j,3.8836836893e-05-5.6326412399e-06j,-6.3743677676e-07-1.8320444352e-06j,-8.8708596697e-07+6.1522809373e-07j,9.0787664657e-09-2.1352433654e-08j,4.0056457284e-05+1.3428644729e-05j,5.8629588697e-06-2.1413280653e-05j,3.3486556131e-06+6.4959671831e-06j,1.5893358718e-05+1.8465357456e-17j,2.2862264107e-05-2.8848833399e-06j,-7.3923075412e-07-6.7743809540e-06j,-2.0564302271e-06+3.7583814324e-06j,-3.0107869645e-07-3.8641846813e-06j,-1.4097490687e-07+2.2610560572e-08j,-6.4122772109e-07+2.7041470314e-07j,-6.7688920140e-07-2.5479974234e-07j,-3.3353706888e-09+2.4007246187e-07j,-2.9870315989e-07+2.8765883810e-09j,1.7268548230e-07+2.6575128905e-07j,-4.6087877240e-08+3.4614783437e-08j,-6.5757173460e-08-5.9183371401e-09j,-1.0533258634e-07+9.2312530784e-09j,-9.3925839020e-08+4.6479122737e-08j
-3.3856456185e-03+2.3627754837e-03j,-4.1393211255e-03+4.9725957913e-03j,1.3754953303e-04+3.7011904268e-05j,2.1841128935e-03-4.2044279850e-03j,1.7912551830e-03+2.5262702698e-03j,1.4076100243e-04-8.2377805061e-05j,-4.4419853758e-06-3.8811717840e-06j,-2.5550721368e-06+3.5184379746e-06j,6.5072501733e-07+3.0186249777e-07j,1.3349166164e-04+2.9492362771e-05j,-2.1324630287e-05-9.0665276830e-05j,-1.4693071206e-07-5.0197340151e-06j,2.2862264107e-05+2.8848833399e-06j,1.0212571930e-04+6.8499801650e-18j,2.3242064428e-05+3.1870752484e-06j,-7.9314765444e-06+1.5181149173e-05j,-6.5947321776e-06-9.1978823663e-06j,-4.7946050188e-07+2.8365227486e-07j,-2.5665344117e-07+8.8998396745e-07j,-2.1140316279e-06-2.6764037747e-07j,-6.7143046458e-07+2.6979502887e-07j,-1.9354381344e-06+6.8274311406e-07j,-1.0374013046e-06+5.2795223226e-07j,-5.8209561263e-07+1.2589923747e-07j,-7.0745036229e-08-2.5348703907e-08j,-4.9985900216e-07-1.3529802923e-08j,-1.1608923153e-07-4.6634685366e-09j
5.6486360101e-05+4.6545355369e-04j,-9.8307860954e-06+4.1613448620e-04j,2.4120117187e-05+1.1896497321e-05j,-1.3309329118e-04-7.3703836050e-04j,6.0025103299e-04-3.6869324380e-05j,2.4501500778e-05-1.5979464256e-05j,-1.1613337401e-06+4.1667634965e-07j,-1.4460387533e-07+5.0958218492e-07j,1.8884045953e-07-3.5002763014e-09j,2.7049946739e-05+6.6353365302e-06j,-1.3228306122e-05-1.2021024449e-05j,-4.3509219793e-06+3.8625573337e-06j,-7.3923075412e-07+6.7743809540e-06j,2.3242064428e-05-3.1870752484e-06j,6.5293890472e-06-1.2186258679e-18j,4.6565390153e-07+2.6664326231e-06j,-2.2083817681e-06+1.2922080349e-07j,-8.3605046008e-08+5.4799541220e-08j,4.7760028727e-08+8.2357976723e-08j,-3.8916997533e-07-7.4840560316e-08j,-1.5545088694e-07+1.5288073775e-07j,-3.0630367552e-07+2.2323998315e-07j,-2.1563444313e-07+2.4498102120e-07j,-1.1069065483e-07+8.3795098549e-08j,1.3879086739e-08-4.9737696474e-08j,-1.1192443186e-07+2.4055243861e-08j,-5.3386384653e-08+5.7280378543e-09j
5.6449336376e-04+4.8098881286e-04j,1.0783046712e-03+3.3487250784e-04j,-4.5889326256e-06-2.2650582150e-05j,-7.4502674896e-04+2.3981238723e-06j,3.3720856349e-04-4.3767289158e-04j,-2.0805650091e-05-1.5786981868e-05j,-4.4816954416e-07+9.1125710579e-07j,5.8577261673e-07+1.9566023296e-07j,3.9763240272e-08-9.6270574165e-08j,-6.2126994558e-06-2.3080281185e-05j,-1.2371650580e-05+9.1550987200e-06j,-2.4319884458e-06-1.7188870719e-06j,-2.0564302271e-06-3.7583814323e-06j,-7.9314765444e-06-1.5181149173e-05j,4.6565390153e-07-2.6664326231e-06j,2.6987940846e-06+3.8505125977e-19j,-1.2306703657e-06+1.6010287147e-06j,7.4557698837e-08+5.4478931921e-08j,1.4480575953e-07-6.1217293607e-08j,2.0929709580e-07+4.4668641412e-07j,1.5022841860e-08+4.2417650477e-08j,2.8389202188e-07+3.1556145524e-07j,2.9059868647e-08+8.2690740757e-08j,3.0626319957e-08+8.5633513205e-08j,8.3988666528e-09+1.5516992322e-08j,3.2848433699e-08+7.4911153260e-08j,3.5684017944e-09+2.6783287406e-08j
2.5379147177e-05-5.6586938297e-04j,-2.9931908968e-04-7.9624039803e-04j,-1.0950732909e-05+1.2665111027e-05j,3.4259681193e-04+4.4194365461e-04j,-4.2990793390e-04+1.4110839338e-06j,-6.9483083708e-07+2.0107883793e-05j,8.8203144662e-07-1.2235430458e-07j,-2.4451663250e-07-4.9971746028e-07j,-8.3893870964e-08+2.2702926828e-09j,-1.1506854657e-05+1.3689353473e-05j,1.1469951336e-05+5.6073952019e-06j,-8.3754420822e-08+2.5069326984e-06j,-3.0107869645e-07+3.8641846813e-06j,-6.5947321776e-06+9.1978823663e-06j,-2.2083817681e-06-1.2922080349e-07j,-1.2306703657e-06-1.6010287147e-06j,1.5711132355e-06-9.3729487634e-20j,2.0895929014e-09-6.9645264161e-08j,-2.0109936629e-07-1.2826549676e-07j,1.9145338491e-07-2.6710580800e-07j,2.3085841515e-08-1.0568188537e-08j,1.1684448188e-07-2.6316727529e-07j,6.6421137330e-08-3.0719392491e-08j,4.7563928411e-08-3.8962608152e-08j,1.1223686825e-09-1.6107764099e-08j,3.4991834705e-08-4.1515083033e-08j,-9.2881876145e-09+6.4284768708e-09j
2.5439362623e-05+3.5435805651e-07j,3.5593716741e-05-1.3999881261e-05j,-4.6680475797e-07-3.5244060137e-07j,-1.9763536624e-05+1.5344378385e-05j,-4.0027688156e-07-1.9069653790e-05j,-1.1394948615e-06-9.0665484419e-08j,7.0277587616e-08+1.2974582284e-07j,-1.3483237226e-07-7.5279160084e-09j,-7.5922762502e-10-2.5319004910e-09j,-6.3703640824e-07-4.7851399295e-07j,-1.6190575692e-07+5.1765812906e-07j,-5.2821738314e-08+5.6575976849e-08j,-1.4097490687e-07-2.2610560573e-08j,-4.7946050188e-07-2.8365227486e-07j,-8.3605046008e-08-5.4799541220e-08j,7.4557698837e-08-5.4478931921e-08j,2.0895929014e-09+6.9645264161e-08j,5.9995529375e-09-1.0635445663e-21j,3.1063570673e-09-4.0279663106e-09j,1.0034168728e-08+6.7705743484e-09j,3.0040529661e-09+5.1210253247e-10j,1.2689371252e-08+4.0682273799e-09j,5.7861870656e-09+1.1156662482e-09j,2.9792066975e-09+1.3302684352e-09j,4.5431620504e-10+1.5336722107e-10j,2.1771690078e-09+1.5929827928e-09j,1.7697290286e-10+2.8218499597e-10j
5.3707505186e-05+4.6834779239e-05j,8.7531631624e-05+3.2159076352e-05j,-2.4346806886e-07-1.0883957180e-06j,-4.0154867097e-05-1.6761792473e-05j,5.5310440874e-05-3.5310009039e-05j,-8.5415876347e-07-1.2054100422e-06j,-8.3407147998e-08+8.2931501706e-08j,4.8884505256e-08+1.4992787457e-08j,6.0589709294e-09-5.3117067212e-09j,-4.3825221225e-07-1.3630081854e-06j,-1.4494742189e-06+3.2605097393e-07j,-2.4650851280e-07-1.6295816397e-07j,-6.4122772109e-07-2.7041470315e-07j,-2.5665344117e-07-8.8998396745e-07j,4.7760028727e-08-8.2357976723e-08j,1.4480575953e-07+6.1217293607e-08j,-2.0109936629e-07+1.2826549676e-07j,3.1063570673e-09+4.0279663106e-09j,2.6949352329e-08+2.1251579791e-20j,1.0969962373e-08+2.2852335212e-08j,1.3262731190e-09+3.9425748110e-09j,9.3250422871e-09+1.9885045770e-08j,-9.9307885102e-10+8.8686708783e-09j,6.1277969830e-10+5.6627420866e-09j,2.9277157282e-09+7.2265437140e-10j,8.0642696970e-10+4.6777121888e-09j,1.7919410676e-09-7.5889153895e-11j
8.6091714464e-05-7.1278807758e-05j,8.5679711981e-05-1.5044614457e-04j,-2.9759491935e-06-3.5485874370e-07j,-5.7745249912e-05+1.2368547029e-04j,-5.2374600455e-05-7.3634639702e-05j,-2.9203568945e-06+1.9626983764e-06j,1.2406754142e-07+1.1874709640e-07j,5.3159044076e-08-8.6203010771e-08j,-1.3258519386e-08-5.5530348216e-09j,-2.8238670247e-06-5.5681510516e-07j,5.6508266002e-07+2.1816260161e-06j,-4.5029911955e-08+2.6262008790e-07j,-6.7688920140e-07+2.5479974234e-07j,-2.1140316279e-06+2.6764037747e-07j,-3.8916997533e-07+7.4840560316e-08j,2.0929709580e-07-4.4668641412e-07j,1.9145338491e-07+2.6710580800e-07j,1.0034168728e-08-6.7705743484e-09j,1.0969962373e-08-2.2852335212e-08j,4.6480278582e-08+5.1426087438e-22j,1.1921003518e-08-7.7014972959e-09j,4.1095069973e-08-1.6648830483e-08j,1.8762309687e-08-1.3987380392e-08j,1.1878960086e-08-3.7904965821e-09j,2.5731187893e-09-1.0765564372e-09j,1.0419012370e-08-5.8863627390e-10j,1.9324311605e-09-6.5453177746e-10j
6.5579022254e-06-2.6412594708e-06j,1.5361423348e-05-7.4066405106e-07j,-6.3062061641e-07-6.3190069437e-07j,-4.0348526548e-06+1.1812522831e-05j,-6.1784278593e-06-2.6611134179e-06j,-8.7801886171e-07+1.4431979379e-07j,1.3163897416e-08-2.6689409201e-09j,1.5018198400e-08-1.6860913977e-08j,-3.7255215081e-09-3.2042274272e-09j,-7.8010134359e-07-4.9967763039e-07j,2.3389566005e-08+4.2660390285e-07j,9.8413471238e-08-7.4499378169e-08j,-3.3353706870e-09-2.4007246187e-07j,-6.7143046458e-07-2.6979502887e-07j,-1.5545088694e-07-1.5288073775e-07j,1.5022841861e-08-4.2417650477e-08j,2.3085841515e-08+1.0568188537e-08j,3.0040529661e-09-5.1210253247e-10j,1.3262731190e-09-3.9425748110e-09j,1.1921003518e-08+7.7014972959e-09j,5.1544950459e-09-2.0504119888e-21j,1.3245513340e-08-1.1831912677e-09j,7.9650854645e-09-5.4113885642e-11j,3.8684613899e-09+2.2444478146e-10j,-3.6731083307e-10+1.3536845455e-09j,3.2734325571e-09+1.1219727602e-09j,1.2251846743e-09+6.9218751809e-10j
